id,date,start_sleep,end_sleep,timeInBed,wake_min,light_min,rem_min,deep_min
0,2017-05-02,00:25,08:10,465,54,208,88,115
1,2017-05-03,01:12,09:44,512,57,206,146,103
2,2017-05-04,01:10,09:35,505,69,260,98,78
3,2017-05-05,00:32,08:57,505,66,247,119,73
4,2017-05-06,01:09,08:25,436,47,197,82,110
5,2017-05-07,02:02,09:35,452,54,230,92,76
6,2017-05-08,01:15,08:14,419,60,181,89,89
7,2017-05-10,00:42,08:37,475,55,258,91,71
8,2017-05-11,01:10,09:00,470,50,225,113,82
9,2017-05-12,00:22,08:35,493,80,210,97,106
10,2017-05-13,00:50,08:19,448,52,218,110,68
11,2017-05-14,01:20,08:42,442,58,239,68,77
12,2017-05-15,00:59,08:55,476,53,248,89,86
13,2017-05-16,01:19,08:17,418,55,195,93,75
14,2017-05-17,01:32,10:06,514,80,246,112,76
15,2017-05-18,23:55,08:10,495,74,225,98,98
16,2017-05-19,00:27,08:17,470,69,224,102,75
17,2017-05-20,01:22,09:18,476,66,227,96,87
18,2017-05-22,00:19,08:39,500,70,291,102,37
19,2017-05-23,23:57,07:46,469,53,245,100,71
20,2017-05-25,00:30,07:02,391,62,226,57,46
21,2017-05-27,00:32,08:18,466,67,208,132,59
22,2017-05-29,00:41,09:51,550,88,252,132,78
23,2017-05-31,00:21,08:00,459,57,228,98,76
24,2017-06-01,01:38,07:29,351,47,175,75,54
25,2017-06-02,00:28,08:00,452,75,191,103,83
26,2017-06-03,00:54,09:49,535,75,252,135,73
27,2017-06-04,00:46,09:04,498,73,226,102,97
28,2017-06-05,00:12,08:25,493,72,214,98,109
29,2017-06-06,00:47,06:45,358,53,184,65,56
30,2017-06-07,00:58,04:32,214,36,112,29,37
31,2017-06-08,00:41,07:51,430,38,220,89,83
32,2017-06-09,00:58,08:49,471,73,214,102,82
33,2017-06-10,01:25,05:35,250,37,128,53,32
34,2017-06-12,01:45,07:19,334,39,126,96,73
35,2017-06-13,21:40,08:48,668,74,296,174,124
36,2017-06-14,00:29,05:35,306,44,104,74,84
37,2017-06-15,01:09,09:42,513,77,217,95,124
38,2017-06-16,01:21,09:04,463,55,196,130,82
39,2017-06-18,00:00,11:27,687,97,314,146,130
40,2017-06-19,01:34,08:09,395,66,184,55,90
41,2017-06-20,00:33,07:56,443,73,185,94,91
42,2017-06-22,00:58,09:08,490,76,266,74,74
43,2017-06-23,00:30,10:12,582,99,307,95,81
44,2017-06-24,00:17,09:42,565,87,315,111,52
45,2017-06-25,01:20,08:55,455,63,262,79,51
46,2017-06-26,00:41,07:11,390,55,188,81,66
47,2017-06-28,23:59,05:52,353,51,143,83,76
48,2017-06-29,00:19,08:25,486,103,254,69,60
49,2017-06-30,00:38,07:42,424,62,208,84,70
50,2017-07-01,00:48,07:40,412,50,186,106,70
51,2017-07-02,23:56,08:19,503,63,246,111,83
52,2017-07-03,00:20,07:25,425,79,157,110,79
53,2017-07-04,00:35,07:26,411,55,165,108,83
54,2017-07-05,23:33,07:30,477,66,237,100,74
55,2017-07-06,01:11,08:05,414,47,193,97,77
56,2017-07-07,00:33,06:50,377,48,197,82,50
57,2017-07-10,00:07,06:49,402,56,193,83,70
58,2017-07-11,01:00,06:53,353,46,149,82,76
59,2017-07-13,01:02,06:55,353,39,160,90,64
60,2017-07-14,01:03,07:00,357,36,158,75,88
61,2017-07-17,00:32,06:53,381,51,197,85,48
62,2017-07-18,00:49,08:17,448,67,170,117,94
63,2017-07-19,00:27,06:52,385,47,134,106,98
64,2017-07-20,00:46,06:57,371,62,157,81,71
65,2017-07-21,00:46,07:04,378,54,226,73,25
66,2017-07-22,00:20,07:57,457,59,179,141,78
67,2017-07-23,23:02,06:04,422,50,175,119,78
68,2017-07-24,00:55,07:57,422,57,156,105,104
69,2017-07-26,01:08,07:18,370,48,169,84,69
70,2017-07-28,23:28,06:09,401,43,199,83,76
71,2017-07-29,00:12,07:10,418,47,226,86,59
